awayTeam,homeTeam,awayScore,homeScore,awayPoss,homePoss,aORtg,hORtg,aDRtg,hDRtg,aeFG%,heFG%,aTO%,hTO%,aOR%,hOR%,aFTR,hFTR
Virtus Roma,Virtus Bologna,67,74,72,72,92.6,102.2,102.2,92.6,0.483,0.449,0.18,0.18,0.233,0.349,0.15,0.174
Virtus Bologna,Flexx Pistoia,88,78,71,71,123.7,109.6,109.6,123.7,0.625,0.491,0.183,0.098,0.17600000000000002,0.304,0.217,0.41100000000000003
Umana Venezia,Virtus Bologna,70,75,72,72,96.9,103.8,103.8,96.9,0.516,0.532,0.235,0.18,0.2,0.267,0.115,0.145
Virtus Bologna,Consultinvest VL Pesaro,94,79,81,81,116.6,98.0,98.0,116.6,0.619,0.423,0.23600000000000002,0.099,0.245,0.292,0.16399999999999998,0.268
OpenJobMetis Varese,Virtus Bologna,80,87,75,75,106.6,116.0,116.0,106.6,0.53,0.583,0.147,0.187,0.3,0.212,0.134,0.28300000000000003
Virtus Bologna,Gemani Basket Brescia,82,80,74,74,110.3,107.6,107.6,110.3,0.523,0.507,0.121,0.175,0.16699999999999998,0.306,0.23399999999999999,0.129
Virtus Bologna,Grissin Bon Reggio Emilia,79,59,77,77,103.0,76.9,76.9,103.0,0.5579999999999999,0.387,0.222,0.183,0.132,0.182,0.2,0.177
Universo De'Longhi Treviso,Virtus Bologna,79,84,81,81,97.7,103.9,103.9,97.7,0.48100000000000004,0.5,0.17300000000000001,0.161,0.295,0.184,0.038,0.313
Virtus Bologna,Pallacanestro Trieste 2004,89,85,86,86,103.9,99.2,99.2,103.9,0.521,0.486,0.187,0.222,0.28600000000000003,0.243,0.21100000000000002,0.243
Red October Cantu,Virtus Bologna,70,89,72,72,97.3,123.7,123.7,97.3,0.49200000000000005,0.59,0.209,0.083,0.3,0.242,0.109,0.149
Virtus Bologna,Vanoli Cremona,66,78,72,72,91.8,108.4,108.4,91.8,0.408,0.406,0.16699999999999998,0.222,0.37,0.37200000000000005,0.28300000000000003,0.406
Enel Brindisi,Virtus Bologna,87,99,78,78,111.3,126.7,126.7,111.3,0.466,0.672,0.154,0.179,0.395,0.22899999999999998,0.243,0.203
Virtus Bologna,Banco di Sardegna Sassari,77,91,77,77,99.8,117.9,117.9,99.8,0.5,0.557,0.19399999999999998,0.10400000000000001,0.212,0.25,0.149,0.18600000000000003
Fortituto Kontatto Bologna,Virtus Bologna,62,94,78,78,79.3,120.3,120.3,79.3,0.377,0.603,0.26899999999999996,0.09,0.289,0.077,0.33299999999999996,0.08199999999999999
EA7 Emporio Armani Milano,Virtus Bologna,70,83,72,72,97.0,115.0,115.0,97.0,0.439,0.531,0.18,0.19399999999999998,0.259,0.324,0.35100000000000003,0.23399999999999999
Virtus Bologna,Dolomiti Energia Trento,83,77,70,70,118.1,109.6,109.6,118.1,0.531,0.455,0.1,0.057,0.22699999999999998,0.36700000000000005,0.23399999999999999,0.091
Virtus Bologna,Virtus Roma,97,68,77,77,125.9,88.3,88.3,125.9,0.755,0.42700000000000005,0.23399999999999999,0.14300000000000002,0.098,0.23800000000000002,0.255,0.242
Flexx Pistoia,Virtus Bologna,60,90,75,75,80.2,120.4,120.4,80.2,0.402,0.631,0.254,0.214,0.36700000000000005,0.182,0.18,0.213
Virtus Bologna,Umana Venezia,83,71,71,71,116.3,99.5,99.5,116.3,0.5479999999999999,0.508,0.126,0.168,0.303,0.19399999999999998,0.242,0.129
Consultinvest VL Pesaro,Virtus Bologna ,89,106,83,83,106.8,127.2,127.2,106.8,0.562,0.669,0.204,0.192,0.39299999999999996,0.2,0.096,0.221
Banco di Sardegna Sassari,OpenJobMetis Varese,74,52,65,65,113.3,79.6,79.6,113.3,0.596,0.35100000000000003,0.168,0.138,0.086,0.382,0.231,0.075
Consultinvest VL Pesaro,Banco di Sardegna Sassari,79,99,76,76,104.5,131.0,131.0,104.5,0.523,0.5870000000000001,0.172,0.198,0.304,0.35700000000000004,0.16899999999999998,0.261
Banco di Sardegna Sassari,Dolomiti Energia Trento,76,73,70,70,108.5,104.2,104.2,108.5,0.516,0.517,0.228,0.14300000000000002,0.33299999999999996,0.23800000000000002,0.156,0.183
Pallacanestro Trieste 2004,Banco di Sardegna Sassari,65,59,75,75,87.2,79.2,79.2,87.2,0.419,0.306,0.174,0.255,0.303,0.294,0.11800000000000001,0.33899999999999997
Banco di Sardegna Sassari,Red October Cantu,87,70,65,65,134.3,108.1,108.1,134.3,0.642,0.508,0.17,0.10800000000000001,0.25,0.375,0.16699999999999998,0.045
Virtus Roma,Banco di Sardegna Sassari ,72,108,74,74,97.1,145.7,145.7,97.1,0.466,0.645,0.21600000000000003,0.081,0.222,0.265,0.31,0.275
